amenity,capacity,parking,access,fee,coordinates
parking,19.516616314199396,surface,,no,"[(1.7842774, 41.7815164), (1.7843835, 41.7814098), (1.7848996, 41.7817251), (1.7848725, 41.7818082), (1.7848331, 41.7818426), (1.7842774, 41.7815164)]"
parking,19.516616314199396,surface,,no,"[(1.8940401, 41.8288112), (1.8942548, 41.8289597), (1.8944141, 41.8291183), (1.8944929, 41.8292183), (1.8945432, 41.8293308), (1.8945566, 41.8294445), (1.8944811, 41.829462), (1.8943733, 41.8293165), (1.894285, 41.8292075), (1.8942555, 41.8291395), (1.8942488, 41.829124), (1.8942041, 41.8290794), (1.8941913, 41.8290623), (1.8941625, 41.8290426), (1.894014, 41.8290233), (1.8940401, 41.8288112)]"
parking,19.516616314199396,surface,,no,"[(1.8941803, 41.8280345), (1.8942317, 41.8278723), (1.894314, 41.8277037), (1.8944666, 41.8277969), (1.8943431, 41.8279349), (1.8943294, 41.8279949), (1.8943397, 41.8280754), (1.8943688, 41.8280958), (1.894381, 41.8281517), (1.8942052, 41.8281048), (1.8941803, 41.8280345)]"
parking,19.516616314199396,,,unknown,"[(1.8139362, 41.5014644), (1.8137126, 41.5011934), (1.8140134, 41.5010077), (1.8141394, 41.5011416), (1.8139728, 41.5012299), (1.8140988, 41.5013974), (1.8139362, 41.5014644)]"
parking,19.516616314199396,surface,,unknown,"[(1.9929841, 41.3839139), (1.9925959, 41.3837558), (1.9926267, 41.3837132), (1.9930149, 41.3838713), (1.9929841, 41.3839139)]"
parking,19.516616314199396,surface,,unknown,"[(1.8840576, 41.7390214), (1.8841594, 41.7388187), (1.8843155, 41.7388696), (1.8848137, 41.7393395), (1.8846834, 41.73949), (1.8842724, 41.7391219), (1.8840576, 41.7390214)]"
parking,19.516616314199396,surface,,no,"[(1.837329, 41.7816204), (1.837338, 41.7818214), (1.837338, 41.7818463), (1.8370409, 41.7818522), (1.8369485, 41.7818564), (1.8369517, 41.7819658), (1.8368873, 41.7819673), (1.8368893, 41.7820183), (1.8368514, 41.782047), (1.8367126, 41.7820241), (1.8366659, 41.7819719), (1.8367863, 41.781643), (1.8371647, 41.7816251), (1.8372949, 41.7815995), (1.837329, 41.7816204)]"
parking,19.516616314199396,surface,,no,"[(1.8379237, 41.7816056), (1.8381071, 41.781799), (1.838128, 41.7819836), (1.8381061, 41.7819874), (1.837849, 41.7820042), (1.8378522, 41.7819572), (1.8378479, 41.7818362), (1.8379327, 41.7818066), (1.8379237, 41.7816056)]"
parking,19.516616314199396,surface,,no,"[(1.8494869, 41.7820078), (1.8494269, 41.7819183), (1.8498449, 41.7817495), (1.8500365, 41.7816456), (1.8501062, 41.7817192), (1.8498565, 41.7818548), (1.8494869, 41.7820078)]"
parking,19.516616314199396,surface,,no,"[(1.841383, 41.7808983), (1.8414174, 41.7807201), (1.8414561, 41.7805657), (1.8418045, 41.7806826), (1.8418486, 41.7808027), (1.8416558, 41.7808423), (1.8415283, 41.7808685), (1.841383, 41.7808983)]"
parking,19.516616314199396,surface,,no,"[(1.8389089, 41.784759), (1.839033, 41.7847653), (1.8390061, 41.7849705), (1.8390319, 41.7849763), (1.8390126, 41.7850536), (1.8388318, 41.7850382), (1.8389089, 41.784759)]"
parking,19.516616314199396,surface,,no,"[(1.8417335, 41.7780295), (1.8415846, 41.7780584), (1.8416066, 41.7779588), (1.8416061, 41.777907), (1.8416403, 41.7777984), (1.8419607, 41.7778232), (1.8419518, 41.7778809), (1.8419196, 41.7778995), (1.8418302, 41.7779181), (1.841754, 41.7779377), (1.8417174, 41.7779727), (1.8417335, 41.7780295)]"
parking,19.516616314199396,surface,,unknown,"[(1.8729492, 41.7511097), (1.8729547, 41.750981), (1.872941, 41.7509408), (1.8728625, 41.7509381), (1.872787, 41.7508503), (1.8728043, 41.7508416), (1.8728257, 41.750831), (1.872917, 41.7507901), (1.8729252, 41.750801), (1.8729946, 41.750769), (1.8730283, 41.7508344), (1.873074, 41.7509311), (1.8731196, 41.7510367), (1.8731133, 41.7511382), (1.8729492, 41.7511097)]"
parking,19.516616314199396,surface,,unknown,"[(1.8771216, 41.7516177), (1.8769284, 41.7515569), (1.8770454, 41.7513629), (1.8772288, 41.751425), (1.8771752, 41.7515261), (1.8771216, 41.7516177)]"
parking,19.516616314199396,surface,,no,"[(1.8773445, 41.7535276), (1.8772532, 41.7533464), (1.877882, 41.7531703), (1.8779733, 41.7533515), (1.8773445, 41.7535276)]"
parking,19.516616314199396,surface,,no,"[(1.8795818, 41.7499839), (1.8795219, 41.7497026), (1.8795765, 41.7496067), (1.8797286, 41.749389), (1.8804911, 41.7496273), (1.8802086, 41.7500879), (1.879723, 41.7499277), (1.8796724, 41.7499323), (1.8796309, 41.7499529), (1.8795818, 41.7499839)]"
parking,19.516616314199396,surface,,unknown,"[(1.9973697, 41.4190133), (1.9975529, 41.4189878), (1.9978364, 41.418963), (1.9978766, 41.418971), (1.9978981, 41.4189851), (1.9979115, 41.4190032), (1.9979115, 41.4190273), (1.9978203, 41.4193069), (1.9972838, 41.4192043), (1.9973482, 41.4190213), (1.9973697, 41.4190133)]"
parking,19.516616314199396,surface,,no,"[(1.8748324, 41.692425), (1.8747094, 41.6920835), (1.8749862, 41.6920575), (1.8751339, 41.6924894), (1.8748324, 41.692425)]"
parking,19.516616314199396,surface,,no,"[(1.8726866, 41.6981148), (1.8728692, 41.6981184), (1.8730256, 41.6981532), (1.8730065, 41.6982922), (1.8729386, 41.6982902), (1.8727851, 41.6982881), (1.8726866, 41.6981148)]"
parking,19.516616314199396,surface,,no,"[(1.8401683, 41.6769815), (1.840438, 41.6767875), (1.8404733, 41.6768149), (1.8405099, 41.6768432), (1.8402249, 41.6770483), (1.8401683, 41.6769815)]"
parking,19.516616314199396,surface,,no,"[(1.8396306, 41.6759323), (1.8396368, 41.6758916), (1.8396088, 41.6758452), (1.8395279, 41.6757975), (1.8395559, 41.675607), (1.8396275, 41.6755744), (1.8397877, 41.6757847), (1.8398105, 41.6758103), (1.8397267, 41.6759531), (1.8396306, 41.6759323)]"
parking,19.516616314199396,surface,,no,"[(1.8431066, 41.6746955), (1.8430178, 41.6746646), (1.8434592, 41.6741343), (1.8435779, 41.6738709), (1.8436169, 41.6738087), (1.8437179, 41.6738643), (1.8437977, 41.6739556), (1.8437853, 41.6740271), (1.843539, 41.6744189), (1.8433157, 41.6747736), (1.8431066, 41.6746955)]"
parking,19.516616314199396,surface,,no,"[(1.8447033, 41.6731473), (1.8446613, 41.6731614), (1.8432205, 41.6734066), (1.8431503, 41.6735619), (1.8429615, 41.6735028), (1.8430342, 41.6734195), (1.8429527, 41.6733043), (1.8432008, 41.6731998), (1.8434604, 41.6732231), (1.8446457, 41.6730341), (1.8447033, 41.6731473)]"
parking,19.516616314199396,surface,,no,"[(1.843575, 41.6748677), (1.8433696, 41.6748085), (1.8435357, 41.6744874), (1.8437411, 41.6745466), (1.843575, 41.6748677)]"
parking,19.516616314199396,surface,,no,"[(1.8443527, 41.6790097), (1.8443498, 41.6789471), (1.8444621, 41.6789435), (1.8445709, 41.6789456), (1.8450876, 41.6789292), (1.8450813, 41.6789896), (1.844893, 41.6790585), (1.8443527, 41.6790097)]"
parking,19.516616314199396,surface,,no,"[(1.8616563, 41.6633092), (1.8616421, 41.6632845), (1.8616846, 41.6631718), (1.8617376, 41.6630168), (1.8617813, 41.6628811), (1.8618155, 41.6628476), (1.8618402, 41.6628371), (1.8618874, 41.6628344), (1.8619688, 41.6628388), (1.8626161, 41.6629322), (1.8626609, 41.6629947), (1.8625701, 41.6634149), (1.8616563, 41.6633092)]"
parking,19.516616314199396,surface,,no,"[(1.8637823, 41.6636677), (1.8638148, 41.6636786), (1.8642903, 41.6637811), (1.8645202, 41.6638189), (1.8644508, 41.663935), (1.8643565, 41.6639774), (1.8642844, 41.6640738), (1.8640472, 41.6640417), (1.8640805, 41.663937), (1.8639654, 41.6638852), (1.8638156, 41.663849), (1.8638059, 41.6638707), (1.8637365, 41.6638593), (1.8637823, 41.6636677)]"
parking,19.516616314199396,surface,,no,"[(1.8462359, 41.6153767), (1.8470112, 41.6157019), (1.8470489, 41.6156683), (1.8471206, 41.6157047), (1.8469748, 41.6158864), (1.8467815, 41.6157846), (1.8461532, 41.6155375), (1.8462359, 41.6153767)]"
parking,19.516616314199396,surface,,no,"[(1.8417188, 41.7024174), (1.8417247, 41.7022959), (1.8421657, 41.7023419), (1.8420985, 41.7024421), (1.8417188, 41.7024174)]"
parking,19.516616314199396,surface,,no,"[(1.8431811, 41.6996492), (1.8429604, 41.7003643), (1.8428613, 41.7003467), (1.8428409, 41.7001068), (1.8429974, 41.6996036), (1.8431811, 41.6996492)]"
parking,19.516616314199396,,,unknown,"[(1.6751747, 41.2216557), (1.674939, 41.2212098), (1.6750488, 41.2210618), (1.6752937, 41.2214336), (1.6751747, 41.2216557)]"
parking,19.516616314199396,,,unknown,"[(1.6753624, 41.2214285), (1.6750946, 41.2209533), (1.6751518, 41.2208759), (1.6751976, 41.2208931), (1.6754334, 41.2213045), (1.6753624, 41.2214285)]"
parking,19.516616314199396,,,unknown,"[(1.6762962, 41.2211548), (1.6762711, 41.2210446), (1.6760033, 41.2205987), (1.6760719, 41.2205711), (1.6763626, 41.2210911), (1.6763649, 41.2211702), (1.6762962, 41.2211548)]"
parking,19.516616314199396,,,unknown,"[(1.6757149, 41.222229), (1.6755501, 41.2218864), (1.6755501, 41.2217797), (1.6756165, 41.221778), (1.6756279, 41.2219036), (1.6757858, 41.2222135), (1.6757149, 41.222229)]"
parking,19.516616314199396,,,unknown,"[(1.6748383, 41.221611), (1.6744354, 41.2208879), (1.6744217, 41.220776), (1.6746323, 41.2208673), (1.6751038, 41.2216695), (1.6751175, 41.2217229), (1.674884, 41.2216729), (1.6748383, 41.221611)]"
parking,19.516616314199396,,,unknown,"[(1.6764153, 41.2214268), (1.6764976, 41.2212873), (1.6767677, 41.2218089), (1.6769073, 41.2221085), (1.6768341, 41.222198), (1.6767769, 41.2221705), (1.6765617, 41.2217074), (1.6764153, 41.2214268)]"
parking,19.516616314199396,,,unknown,"[(1.6768227, 41.2211565), (1.6767357, 41.221005), (1.6769874, 41.2210687), (1.6772987, 41.2216299), (1.6774635, 41.2219622), (1.6774864, 41.2220792), (1.6772552, 41.222), (1.677095, 41.2216247), (1.6768227, 41.2211565)]"
parking,19.516616314199396,,,unknown,"[(1.6765732, 41.2212839), (1.6766876, 41.2210807), (1.6770447, 41.2217418), (1.6772415, 41.222155), (1.6773743, 41.222532), (1.6772255, 41.222711), (1.677047, 41.2222324), (1.6768547, 41.2218399), (1.6766327, 41.2213958), (1.6765732, 41.2212839)]"
parking,19.516616314199396,surface,,unknown,"[(1.6925128, 41.3492137), (1.6922181, 41.3493557), (1.6913485, 41.3492437), (1.6909336, 41.3487575), (1.6909955, 41.348722), (1.6921708, 41.3487876), (1.6925128, 41.3492137)]"
parking,19.516616314199396,surface,,no,"[(1.7186955, 41.8941684), (1.718735, 41.8941499), (1.7187785, 41.8942106), (1.7188724, 41.8943565), (1.7189348, 41.8944809), (1.7189542, 41.8945772), (1.718979, 41.8946639), (1.7189213, 41.894678), (1.7188993, 41.8945817), (1.71887, 41.89448), (1.7188261, 41.8943837), (1.7187638, 41.8942783), (1.7186955, 41.8941684)]"
parking,19.516616314199396,,,unknown,"[(2.4611064, 41.6688848), (2.4612257, 41.6686033), (2.4620721, 41.6686825), (2.4620481, 41.6687842), (2.4618861, 41.6688769), (2.4614685, 41.6689228), (2.4611064, 41.6688848)]"
parking,19.516616314199396,surface,,no,"[(1.8432025, 42.0646311), (1.8431305, 42.0640609), (1.8435171, 42.064034), (1.8435891, 42.0646042), (1.8432025, 42.0646311)]"
parking,19.516616314199396,,,unknown,"[(2.0879252, 41.3193072), (2.0878948, 41.3191862), (2.0887793, 41.3191479), (2.0890907, 41.3191345), (2.0895176, 41.319116), (2.089555, 41.3192581), (2.0882117, 41.3192986), (2.0879252, 41.3193072)]"
parking,19.516616314199396,,,unknown,"[(2.3217115, 41.9214135), (2.3219676, 41.9216734), (2.3218735, 41.9216665), (2.3211229, 41.9217058), (2.3208162, 41.9217684), (2.3207492, 41.9216961), (2.3211179, 41.9215699), (2.3217115, 41.9214135)]"
parking,19.516616314199396,,,unknown,"[(1.7695475, 41.2622335), (1.7696979, 41.2620309), (1.7705524, 41.2621851), (1.7704439, 41.2625365), (1.7695475, 41.2622335)]"
parking,19.516616314199396,,,unknown,"[(1.7660664, 41.2586092), (1.7656813, 41.2583154), (1.7658521, 41.2579853), (1.7662017, 41.2580709), (1.765974, 41.258401), (1.7661255, 41.2585313), (1.7660664, 41.2586092)]"
parking,19.516616314199396,,,unknown,"[(1.7670345, 41.2577417), (1.7669657, 41.2576318), (1.7672016, 41.2575549), (1.7674771, 41.257465), (1.7680749, 41.2572797), (1.7681273, 41.2573977), (1.7678029, 41.2574877), (1.7676404, 41.257531), (1.7674906, 41.2575869), (1.7673406, 41.2576378), (1.7670345, 41.2577417)]"
parking,19.516616314199396,,,unknown,"[(1.7686037, 41.2572713), (1.7685617, 41.2571778), (1.7698434, 41.2567145), (1.7698926, 41.2567938), (1.7691694, 41.2570617), (1.7686037, 41.2572713)]"
parking,19.516616314199396,,,unknown,"[(1.7750214, 41.2554389), (1.7751694, 41.2553508), (1.7753316, 41.25541), (1.7752101, 41.2555856), (1.7750981, 41.255554), (1.7751121, 41.2554837), (1.7750214, 41.2554389)]"
parking,19.516616314199396,,,unknown,"[(1.7733886, 41.2558414), (1.7737844, 41.2557406), (1.7735981, 41.2560036), (1.7733886, 41.2558414)]"
parking,19.516616314199396,,,unknown,"[(1.7788236, 41.2606137), (1.7790998, 41.2604752), (1.7795607, 41.2602442), (1.779849, 41.2605726), (1.7791408, 41.2609081), (1.7788236, 41.2606137)]"
parking,19.516616314199396,,,unknown,"[(2.2218032, 41.4717099), (2.2217351, 41.4716218), (2.221671, 41.4714406), (2.22173, 41.4713382), (2.2217483, 41.471303), (2.2218515, 41.4712825), (2.2218737, 41.4712785), (2.2220143, 41.4711875), (2.2220067, 41.4712548), (2.2221242, 41.4713311), (2.2220118, 41.4715858), (2.2220193, 41.4716169), (2.2219856, 41.4716701), (2.2218032, 41.4717099)]"
parking,19.516616314199396,,,unknown,"[(2.2183862, 41.4700844), (2.2181431, 41.4701017), (2.218129, 41.4700933), (2.2180997, 41.4700246), (2.2181004, 41.469977), (2.2181331, 41.4699424), (2.2183456, 41.4699032), (2.2183632, 41.4698597), (2.2184612, 41.4698452), (2.2185032, 41.4698138), (2.2185061, 41.4697767), (2.2185525, 41.4697539), (2.2185779, 41.46978), (2.2186063, 41.4698097), (2.2186411, 41.4697911), (2.2187138, 41.4697423), (2.2188745, 41.4698642), (2.2188102, 41.4699451), (2.2187121, 41.4700057), (2.2186152, 41.4699976), (2.2185259, 41.4700801), (2.2184735, 41.4700916), (2.2184285, 41.4700579), (2.2184003, 41.4700593), (2.2183862, 41.4700844)]"
parking,19.516616314199396,,,unknown,"[(1.7661966, 41.253816), (1.7661995, 41.2535254), (1.7664328, 41.2535193), (1.7664194, 41.2538218), (1.7663658, 41.2538259), (1.7662442, 41.253818), (1.7661966, 41.253816)]"
parking,19.516616314199396,,,unknown,"[(1.7519676, 41.3636761), (1.7516297, 41.3629494), (1.7520186, 41.3628346), (1.7521634, 41.3632071), (1.7522064, 41.363197), (1.7522386, 41.3633118), (1.75215, 41.3633419), (1.7522278, 41.3636721), (1.7519676, 41.3636761)]"
parking,19.516616314199396,,,unknown,"[(1.7518228, 41.3626394), (1.751509, 41.3627179), (1.7513427, 41.3623294), (1.7516646, 41.3622609), (1.7518228, 41.3626394)]"
parking,19.516616314199396,,,unknown,"[(1.7646595, 41.380775), (1.7644478, 41.3805758), (1.7648077, 41.3804622), (1.765281, 41.3806301), (1.7652799, 41.3806553), (1.7646595, 41.380775)]"
parking,19.516616314199396,lane,,yes,"[(1.9715209, 41.4472923), (1.9715941, 41.4472265), (1.971617, 41.4472361), (1.971636, 41.4472195), (1.9716575, 41.4472315), (1.9716764, 41.447216), (1.9716974, 41.4472268), (1.9717116, 41.4472097), (1.9717349, 41.4472201), (1.971747, 41.4472052), (1.9717698, 41.4472161), (1.9717861, 41.4471997), (1.9718086, 41.4472107), (1.9718213, 41.4471933), (1.9718461, 41.4472064), (1.971862, 41.4471906), (1.9718875, 41.4472011), (1.9719008, 41.4471855), (1.9719233, 41.4471966), (1.9719392, 41.4471784), (1.9719596, 41.4471899), (1.9719773, 41.4471714), (1.9719996, 41.4471856), (1.972017, 41.447168), (1.9720411, 41.4471804), (1.9720588, 41.4471622), (1.972081, 41.447174), (1.9720933, 41.4471589), (1.9721137, 41.4471686), (1.9721275, 41.447151), (1.9721515, 41.4471624), (1.9721651, 41.4471433), (1.972194, 41.4471524), (1.9722057, 41.4471357), (1.9722327, 41.4471452), (1.9722043, 41.4471785), (1.9722577, 41.4471453), (1.9722804, 41.4471593), (1.9722961, 41.4471482), (1.9723196, 41.4471625), (1.9723362, 41.4471504), (1.9723567, 41.4471638), (1.9723756, 41.4471532), (1.9723967, 41.4471698), (1.9724145, 41.4471592), (1.9724332, 41.4471758), (1.972459, 41.4471613), (1.972474, 41.4471757), (1.9724952, 41.4471643), (1.9725047, 41.4471731), (1.9725298, 41.4472102), (1.9724093, 41.4473108), (1.9723719, 41.4473187), (1.9722999, 41.4473372), (1.9722643, 41.4473338), (1.9722606, 41.4473106), (1.9722259, 41.4473024), (1.9722175, 41.4472729), (1.97219, 41.4472689), (1.9721813, 41.4472167), (1.9721849, 41.447197), (1.9721636, 41.4471944), (1.9715209, 41.4472923)]"
parking,19.516616314199396,,,unknown,"[(1.9735732, 41.4466282), (1.9734412, 41.4467139), (1.9733697, 41.4466532), (1.9734179, 41.4466185), (1.9734647, 41.4465868), (1.9734952, 41.4465662), (1.9734751, 41.4465494), (1.9736387, 41.4464384), (1.9736526, 41.4464494), (1.9737463, 41.4463835), (1.9737723, 41.4464033), (1.973823, 41.446372), (1.9738983, 41.4463269), (1.9739457, 41.4462978), (1.9739881, 41.4462724), (1.9739484, 41.4462328), (1.9743562, 41.4459774), (1.9743684, 41.4459702), (1.9743913, 41.4459568), (1.9746901, 41.4457682), (1.9748203, 41.445704), (1.9748562, 41.4456859), (1.9751627, 41.4455393), (1.9752087, 41.4455227), (1.9752607, 41.4455048), (1.9752767, 41.4455287), (1.975299, 41.4455547), (1.9753141, 41.4455749), (1.9753417, 41.445614), (1.9751708, 41.4456882), (1.9749436, 41.4458095), (1.9746221, 41.4459866), (1.9745774, 41.4459443), (1.9745591, 41.4459277), (1.9745407, 41.445911), (1.974433, 41.4459776), (1.9744017, 41.4459991), (1.9743849, 41.4460106), (1.9743832, 41.4460205), (1.9744549, 41.4460859), (1.974189, 41.4462514), (1.9739009, 41.4464334), (1.9738582, 41.4463962), (1.9738129, 41.4464273), (1.9737193, 41.4464932), (1.9737478, 41.446516), (1.9737439, 41.4465187), (1.9735732, 41.4466282)]"
parking,19.516616314199396,,,unknown,"[(2.1588102, 41.4168107), (2.1588082, 41.416767), (2.1588216, 41.4166559), (2.1588417, 41.4166207), (2.1588806, 41.4165976), (2.1589282, 41.4165754), (2.1589865, 41.4165719), (2.1590489, 41.4165835), (2.1590998, 41.4166177), (2.1591173, 41.4166654), (2.1591025, 41.4167132), (2.1590603, 41.4167474), (2.1589966, 41.4167771), (2.1588102, 41.4168107)]"
parking,19.516616314199396,,,unknown,"[(1.6801225, 41.9131504), (1.6800851, 41.9132236), (1.6800489, 41.9132528), (1.6799898, 41.9132758), (1.6798776, 41.9132731), (1.6796768, 41.9132418), (1.6793564, 41.913194), (1.6793121, 41.9131687), (1.6793018, 41.9131434), (1.6793032, 41.9131176), (1.6793195, 41.9130984), (1.6793468, 41.9130769), (1.6793741, 41.9130671), (1.6794465, 41.9130583), (1.6795823, 41.9130423), (1.6798407, 41.9130357), (1.6799108, 41.9130286), (1.6800718, 41.9129934), (1.6801225, 41.9131504)]"
parking,19.516616314199396,surface,,unknown,"[(2.1158676, 41.4021211), (2.1163597, 41.4018221), (2.1165009, 41.4020122), (2.1161211, 41.4023612), (2.1158676, 41.4021211)]"
parking,19.516616314199396,surface,,unknown,"[(2.1155479, 41.4018112), (2.1156864, 41.4017226), (2.1158942, 41.4019379), (2.1157736, 41.4020145), (2.1155479, 41.4018112)]"
parking,19.516616314199396,surface,,no,"[(1.8083295, 41.7448343), (1.8083118, 41.7448391), (1.8082205, 41.7447045), (1.8081983, 41.7446711), (1.8081108, 41.7445436), (1.8080861, 41.7445007), (1.8079444, 41.7442925), (1.8079406, 41.7442936), (1.8079044, 41.7442418), (1.8079095, 41.7442392), (1.8078267, 41.7441197), (1.8079537, 41.7440666), (1.8081979, 41.7444158), (1.8083248, 41.7443749), (1.8084642, 41.7446017), (1.8085755, 41.744701), (1.8085112, 41.74477), (1.8083937, 41.7448133), (1.8083295, 41.7448343)]"
parking,19.516616314199396,surface,,no,"[(1.8061419, 41.7407074), (1.8061116, 41.7405487), (1.8061403, 41.7405434), (1.806204, 41.7404791), (1.8062461, 41.7403348), (1.8062574, 41.7402868), (1.8065987, 41.740315), (1.8066443, 41.7405109), (1.80628, 41.7406261), (1.8061721, 41.7406608), (1.8061419, 41.7407074)]"
parking,19.516616314199396,surface,,no,"[(1.7977539, 41.7402413), (1.7978332, 41.7401845), (1.7979008, 41.7401433), (1.7979621, 41.7401174), (1.7980644, 41.7401067), (1.7980849, 41.7401983), (1.7981995, 41.7402868), (1.7983693, 41.740383), (1.7983314, 41.740452), (1.798285, 41.7404232), (1.7981321, 41.7403423), (1.7980679, 41.7403247), (1.7978092, 41.7402523), (1.7977539, 41.7402413)]"
parking,19.516616314199396,surface,,no,"[(1.7976614, 41.7401861), (1.797647, 41.7402199), (1.7973627, 41.7401632), (1.7969687, 41.7401353), (1.7969801, 41.7400365), (1.7970742, 41.7399983), (1.7971867, 41.7399632), (1.7975304, 41.7399189), (1.797688, 41.7399281), (1.7977146, 41.7400426), (1.7977534, 41.7400517), (1.7978066, 41.7400563), (1.7978189, 41.7400823), (1.7978046, 41.7401021), (1.7977575, 41.7401281), (1.7977105, 41.7401494), (1.7976614, 41.7401861)]"
parking,19.516616314199396,surface,,unknown,"[(2.5394707, 41.5737809), (2.5397007, 41.5739212), (2.5401184, 41.5740377), (2.5404015, 41.5741304), (2.5404652, 41.5741966), (2.5404652, 41.5742628), (2.5404086, 41.5743104), (2.5403095, 41.5743078), (2.540039, 41.5741957), (2.5399839, 41.5741728), (2.5396016, 41.5739186), (2.5395344, 41.5738577), (2.5394707, 41.5738392), (2.5394707, 41.5737809)]"
parking,19.516616314199396,,,unknown,"[(2.2011278, 41.4655713), (2.2011001, 41.465524), (2.2011591, 41.4653974), (2.20143, 41.4653632), (2.2015212, 41.4653954), (2.2011278, 41.4655713)]"
parking,19.516616314199396,,,no,"[(2.250973, 41.7672032), (2.2510373, 41.767137), (2.2510735, 41.7671566), (2.2510093, 41.7672228), (2.250973, 41.7672032)]"
parking,19.516616314199396,surface,,no,"[(2.2510822, 41.767084), (2.2511615, 41.7670074), (2.2512039, 41.7670318), (2.2511246, 41.7671084), (2.2510822, 41.767084)]"
parking,19.516616314199396,street_side,,no,"[(2.2516996, 41.7643101), (2.251611, 41.7640837), (2.2516864, 41.7641535), (2.2516996, 41.7643101)]"
parking,19.516616314199396,surface,,unknown,"[(2.2514067, 41.7635791), (2.2513443, 41.7634383), (2.2513968, 41.7634227), (2.2514625, 41.7635551), (2.2514067, 41.7635791)]"
parking,19.516616314199396,,,unknown,"[(1.9065495, 41.4955479), (1.9066036, 41.4953209), (1.906671, 41.4953299), (1.9066169, 41.4955569), (1.9065495, 41.4955479)]"
parking,19.516616314199396,,,unknown,"[(1.9064849, 41.4955323), (1.9064234, 41.4955241), (1.9064746, 41.4953091), (1.9065361, 41.4953173), (1.9064849, 41.4955323)]"
parking,19.516616314199396,,,unknown,"[(1.9075922, 41.4966203), (1.9075587, 41.496539), (1.9078953, 41.4964908), (1.9079154, 41.4965681), (1.9075922, 41.4966203)]"
parking,19.516616314199396,surface,,unknown,"[(1.8751044, 41.606772), (1.8753329, 41.6069649), (1.875245, 41.6070244), (1.8750124, 41.6068326), (1.8751044, 41.606772)]"
parking,19.516616314199396,surface,,unknown,"[(1.8738338, 41.6119486), (1.8738087, 41.6119698), (1.8737815, 41.612018), (1.8737611, 41.6120714), (1.873743, 41.6121502), (1.8736471, 41.6121858), (1.8737113, 41.6119917), (1.8738338, 41.6119486)]"
parking,19.516616314199396,surface,,unknown,"[(2.2520865, 41.7639292), (2.2520771, 41.7637851), (2.2522562, 41.7637747), (2.2522782, 41.7639952), (2.2523022, 41.7642054), (2.2522114, 41.7642102), (2.2521896, 41.7639248), (2.2520865, 41.7639292)]"
parking,19.516616314199396,surface,,unknown,"[(2.2504956, 41.7667605), (2.2502125, 41.7666012), (2.2502028, 41.7665846), (2.250199, 41.7665652), (2.2502019, 41.7665457), (2.2502724, 41.7664823), (2.2503169, 41.7664405), (2.2504918, 41.7662805), (2.2505788, 41.766176), (2.2506077, 41.7661421), (2.2508774, 41.7662913), (2.2504956, 41.7667605)]"
parking,19.516616314199396,surface,,unknown,"[(1.8119129, 41.2441208), (1.8122603, 41.2441102), (1.812459, 41.2440915), (1.8125753, 41.2442988), (1.8126518, 41.2444341), (1.8120167, 41.2445949), (1.8119616, 41.2444648), (1.8119082, 41.2442769), (1.8119129, 41.2441208)]"
parking,19.516616314199396,surface,,unknown,"[(1.8148673, 41.2419389), (1.8146941, 41.2416784), (1.815032, 41.2415662), (1.8156923, 41.2415417), (1.8158484, 41.2415494), (1.8158707, 41.2416229), (1.8155379, 41.241681), (1.8152995, 41.2417648), (1.8148673, 41.2419389)]"
parking,19.516616314199396,surface,,unknown,"[(1.826766, 41.236094), (1.8270868, 41.2357008), (1.8270989, 41.2356523), (1.8271232, 41.2354849), (1.8272467, 41.235392), (1.8273309, 41.2353576), (1.827474, 41.2355686), (1.8274796, 41.2356882), (1.827459, 41.2357796), (1.8273814, 41.2358267), (1.827286, 41.235833), (1.8271345, 41.2358176), (1.8269296, 41.2360504), (1.8268904, 41.236082), (1.8268155, 41.2361081), (1.826766, 41.236094)]"
parking,19.516616314199396,surface,,yes,"[(1.8695894, 41.243883), (1.8694923, 41.2440042), (1.8693804, 41.2439671), (1.8693607, 41.2438471), (1.8693261, 41.2437778), (1.8692225, 41.243711), (1.8690448, 41.2436319), (1.8690777, 41.2434747), (1.8699036, 41.2436121), (1.8698938, 41.2437655), (1.8698049, 41.2439449), (1.8695894, 41.243883)]"
parking,19.516616314199396,surface,,unknown,"[(1.8318707, 41.2371057), (1.8318366, 41.2371273), (1.8317972, 41.2371329), (1.8317706, 41.2371065), (1.8317439, 41.237048), (1.8317269, 41.2369583), (1.8317109, 41.2368293), (1.8317237, 41.2367548), (1.8317141, 41.2366266), (1.831826, 41.2366114), (1.8318611, 41.2366723), (1.8319975, 41.2366811), (1.8319954, 41.2367484), (1.8319623, 41.2368437), (1.831892, 41.2369711), (1.8318707, 41.2371057)]"
parking,19.516616314199396,surface,,unknown,"[(1.9146426, 41.5864385), (1.91462, 41.5864093), (1.9145942, 41.5863759), (1.9155296, 41.5859563), (1.9155545, 41.5859831), (1.915589, 41.5860202), (1.9150935, 41.5862463), (1.9148932, 41.5863352), (1.9146426, 41.5864385)]"
parking,19.516616314199396,surface,,unknown,"[(1.9170585, 41.587124), (1.9169885, 41.5870828), (1.9169602, 41.5870232), (1.9170869, 41.5869909), (1.917119, 41.5869825), (1.9171098, 41.5869629), (1.9172175, 41.5869348), (1.9172321, 41.5870148), (1.9172288, 41.5870643), (1.9170585, 41.587124)]"
